Title,Price,nom immobilier,nom quartier,espace en m²,nombre de pièces,nb de chambres,nb salle de bain,Vue_sur_mer,Vue_sur_les_montagnes,Etat,Cheminee,Standing,Chauffage_central,Meuble,Piscine,Cuisine_equipee,Climatisation,Terrasse,Jardin,Annees,Garage
La Soukra à La Soukra,Prix à consulter,Immobilier La Soukra,La Soukra,120 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,
Hammamet Nord à Hammamet,2100000 TND,Immobilier Hammamet,Hammamet Nord,850 						m² , 10 Pièces , 20 Chambres , 10 Salles de bains ,Yes,,Bon état,,,Yes,,,,Yes,Yes,,5-10 ans,Yes
Borj Cedria à Hammam Chatt,680000 TND,Immobilier Hammam Chatt,Borj Cedria,150 						m² , 5 Pièces , 4 Chambres , 3 Salles de bains ,,,Bon état,,,,,,Yes,,Yes,,,Yes
Cité Taieb Mhiri à Menzel Chaker,480000 TND,Immobilier Menzel Chaker,Cité Taieb Mhiri,204 						m² , 5 Pièces , 4 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,Yes,,Yes,Yes,,,5-10 ans,Yes
Dar Châabane,247000 TND,Immobilier Dar Châabane,,75 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,,,,,Yes,,Yes,,,
Cité Ennacim 2 à Mohamadia,Prix à consulter,Immobilier Mohamadia,Cité Ennacim 2,75 						m² , 3 Pièces , 3 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,,,10-20 ans,
Les Jardins de Carthage à Le Kram,506400 TND,Immobilier Le Kram,Les Jardins de Carthage,93 						m² , 3 Pièces , 2 Chambres , 2 Salles de bains ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,,Yes
Khaznadar à Le Bardo,140000 TND,Immobilier Le Bardo,Khaznadar,75 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,Yes,Yes,,
Hammamet Sud à Hammamet,490000 TND,Immobilier Hammamet,Hammamet Sud,160 						m² , 4 Pièces , 3 Chambres , 2 Salles de bains ,,Yes,Nouveau,,,,,,Yes,,Yes,,Moins d'un an,
,,Immobilier neuf Tunisie,Voir l'annonce,Haut standing ,, En cours de construction , Livraison: 						décembre 2025,,,,,,,,,,,,,,
Chotrana 1 à La Soukra,248000 TND,Immobilier La Soukra,Chotrana 1,81 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Nouveau,,,Yes,,,Yes,Yes,Yes,,Moins d'un an,
